location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,Puissance Fiscale
Tunis,9 hours ago,93000.0,Blanc,37600.0,Avec kilométrage,1.2,2020.0,Manuelle,Hyundai,I 10,Autres,Essence,5.0
Nabeul,9 hours ago,43500.0,Autre,20845.0,Nouveau,2.0,2020.0,Automatique,Kia,Sportage,4 x 4,Hybride Diesel,10.0
Nabeul,9 hours ago,43500.0,Autre,20845.0,Nouveau,2.0,2020.0,Automatique,Kia,Sportage,4 x 4,Hybride Diesel,10.0
Nabeul,9 hours ago,7900.0,Noir,20845.0,Nouveau,1.6,2021.0,Automatique,Kia,Sportage,4 x 4,Essence,11.0
Bizerte,9 hours ago,100000.0,Blanc,47000.0,Nouveau,1.6,2020.0,Manuelle,Peugeot,Partner,Autres,Diesel,5.0
Tunis,9 hours ago,53000.0,Rouge,42000.0,Avec kilométrage,1.0,2022.0,Manuelle,Hyundai,Grand i10,Compacte,Essence,4.0
Gabès,10 hours ago,200000.0,Gris,15000.0,Avec kilométrage,1.2,2015.0,Automatique,Toyota,Auris,Berline,Essence,6.0
Ben Arous,10 hours ago,185000.0,Noir,30300.0,Avec kilométrage,1.2,2012.0,Manuelle,Seat,Ibiza,Compacte,Essence,5.0
Tunis,10 hours ago,76000.0,Blanc,29800.0,Avec kilométrage,1.0,2018.0,Manuelle,Citroen,C1,Compacte,Essence,4.0
Sousse,10 hours ago,176000.0,Gris,67000.0,Avec kilométrage,2.2,2012.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10.0
Tunis,10 hours ago,153000.0,Bleu,41000.0,Avec kilométrage,1.2,2020.0,Automatique,Suzuki,Swift,Compacte,Essence,5.0
Ben Arous,10 hours ago,72000.0,Gris,62500.0,Avec kilométrage,1.2,2022.0,Manuelle,Hyundai,I 20,Compacte,Essence,5.0
Nabeul,10 hours ago,300000.0,Gris,32000.0,Avec kilométrage,1.6,2016.0,Manuelle,Volkswagen,Caddy,Utilitaire,Diesel,6.0
Nabeul,11 hours ago,115000.0,Orange,46800.0,Avec kilométrage,1.5,2017.0,Automatique,MG,HS,4 x 4,Essence,9.0
Monastir,11 hours ago,65000.0,Blanc,20440.0,Avec kilométrage,1.5,2020.0,Manuelle,Chery,Tiggo,Autres,Essence,6.0
Tataouine,11 hours ago,202000.0,Noir,52000.0,Avec kilométrage,1.5,2017.0,Manuelle,Renault,Megane,Berline,Diesel,4.0
Tunis,11 hours ago,159000.0,Noir,31000.0,Nouveau,1.4,2016.0,Manuelle,Renault,Symbol,Compacte,Essence,5.0
Sousse,11 hours ago,33000.0,Gris,30000.0,Avec kilométrage,4.0,2023.0,Manuelle,wallyscar,619,Utilitaire,Essence,5.0
